No.,単語,日本語,問題,選択肢1,選択肢2,選択肢3,選択肢4,答え,日本語訳
1,fill out ～,～に書き込む,Please (     ) this form with your name and address before the interview.,fill out,give up,look after,take off,1,面接の前に、この用紙にあなたの名前と住所を書き込んでください。
2,set up ～,～を設立する、立ち上げる,They decided to (     ) a new company in the city center.,take off,give up,set up,put off,3,彼らは町の中心に新しい会社を設立することにした。
3,keep up with ～,～に遅れずについていく,The new student worked hard to (     ) the rest of the class in math.,keep up with,put up with,run out of,do away with,1,その転入生は数学でクラスのみんなに遅れないよう懸命に勉強した。
4,break down,故障する,My old car suddenly (     ) on the highway during our family trip.,broke down,broke out,gave up,grew up,1,家族旅行の途中、私の古い車が高速道路で突然故障した。
5,let ～ down,～を失望させる,"Don't worry, I promise I will never let you (     ).",out,off,up,down,4,心配しないで、決して君を失望させないと約束するよ。
6,take over ～,～を引き継ぐ,"When the old manager retires, his son will (     ) the family business.",take off,take out,take over,take after,3,年配の経営者が引退したら、息子が家業を引き継ぐ予定だ。
7,show off ～,～を見せびらかす,He always likes to (     ) his new car to all of his friends.,put off,show off,take off,cut off,2,彼はいつも新しい車を友達みんなに見せびらかすのが好きだ。
8,stand for ～,～を意味する,"The letters ""UN"" (     ) the United Nations in official documents.",wait for,look for,care for,stand for,4,UNという文字は、公式文書では国際連合を意味している。
9,on time,時間通りに,"The train arrived exactly (     ), so we were not late.",in fact,on time,by heart,at last,2,電車はちょうど時間通りに着いたので、私たちは遅れなかった。
10,～ as well as …,…はもちろんのこと～も,She can speak French (     ) English very fluently at work.,as soon as,as well as,as long as,as far as,2,彼女は職場で英語はもちろんフランス語もとても流ちょうに話せる。
11,ask for ～,～を求める、要求する,"If you need more time, you can (     ) it at the front desk.",laugh at,ask for,belong to,agree with,2,もっと時間が必要なら、受付でそれを求めることができます。
12,work on ～,～に取り組む,The scientists are now (     ) a new medicine to cure the serious disease.,working on,looking after,putting off,giving up,1,科学者たちは今、その深刻な病気を治す新しい薬に取り組んでいる。
13,as well,～もまた,"My father speaks French, and he can speak Spanish (     ).",as if,as well,at all,so far,2,父はフランス語を話し、スペイン語も話せる。
14,pick up ～,～を迎えに行く,I have to (     ) my son from soccer practice at five o'clock.,turn off,put off,pick up,give up,3,私は5時に息子をサッカーの練習に迎えに行かなければならない。
15,in the end,結局,"We tried many different plans, but (     ) we chose the simplest one.",in the way,by the way,at first,in the end,4,私たちは多くの計画を試したが、結局いちばん単純なものを選んだ。
16,in particular,特に,"I enjoy many kinds of sports, but I like soccer (     ).",on average,by chance,in particular,in general,3,私はいろいろなスポーツを楽しむが、特にサッカーが好きだ。
17,make a mistake,間違える,I always (     ) when I try to speak English quickly in front of others.,tell a lie,take a break,have a rest,make a mistake,4,人前で速く英語を話そうとすると、私はいつも間違える。
18,at least,少なくとも,You should sleep (     ) seven hours every night to stay healthy.,at last,at once,at first,at least,4,健康でいるために、毎晩少なくとも7時間は寝るべきだ。
19,be similar to ～,～と似ている,Your new bag is very (     ) mine; they look almost the same.,different from,similar to,afraid of,famous for,2,あなたの新しいかばんは私のととても似ていて、ほとんど同じに見える。
20,suffer from ～,～に苦しむ,Many people in that poor country (     ) hunger every year.,benefit from,hear from,come from,suffer from,4,その貧しい国では、毎年多くの人々が飢えに苦しんでいる。
21,be based on ～,～に基づいている,This popular movie (     ) a true story about a brave scientist.,is made of,is known for,is based on,is filled with,3,この人気映画は、勇敢な科学者についての実話に基づいている。
22,for a while,しばらくの間,"After the long walk, we sat down on a bench and rested (     ).",for free,for a while,by far,in fact,2,長い散歩のあと、私たちはベンチに座ってしばらく休んだ。
23,up to ～,～次第である,It is (     ) you to decide where we will eat tonight.,up to,next to,out of,over to,1,今夜どこで食べるかを決めるのはあなた次第だ。
24,prefer ～ to …,…より～を好む,"I (     ) coffee, so I always order tea when I visit a café.",drink tea with,enjoy tea than,love tea over,prefer tea to,4,私はコーヒーより紅茶を好むので、カフェに行くといつも紅茶を注文する。
