"出題順","番号","チャプター","ユニット","形式","問題文","選択肢1","選択肢2","選択肢3","選択肢4","選択肢5","選択肢6","正解","正解の内容","完成文","訳","POINT","解説","誤答チェック・補足","備考"
"1","100","Chapter 2 準動詞","UNIT 2 不定詞(2)","空所補充","空所に入る最も適切なものを選択肢から1つ選びなさい。
She speaks French, to say （　） of English.","anything","everything","nothing","something","","","3","nothing","She speaks French, to say nothing of English.","彼女は英語は言うまでもなく、フランス語も話す。","to say nothing of ~「〜は言うまでもなく」","to say nothing of ~ は「〜は言うまでもなく」という意味の独立不定詞で、当然のことを引き合いに出して情報を付け加える表現です。直訳すると「〜については何も言わないとしても」となり、「英語が話せるのは当然として、フランス語まで話せる」という文意になります。not to mention ~ / not to speak of ~ もほぼ同じ意味の言い換え表現として頻出なので、セットで押さえておきましょう。","1 anything：to say anything of という慣用表現は存在しないため×
2 everything：to say everything of という慣用表現は存在しないため×
4 something：to say something of という慣用表現は存在しないため×",""
"2","194","Chapter 3 構造系","UNIT 4 比較(2)","空所補充","Mark is expected to take over his father's business as he is （　） boy of the two sons in his family.","older","oldest","the older","the oldest","","","3","the older","Mark is expected to take over his father's business as he is the older boy of the two sons in his family.","マークは家の2人の息子のうち年上のほうなので、父親の事業を継ぐことを期待されている。","「2つ（2人）のうちで〜なほう」は the + 比較級 + of the two","文末に of the two sons（2人の息子のうち）とあるのが最大のヒントです。比較の対象が「2つ（2人）」に限定されるときは、最上級ではなく「the + 比較級 + of the two」の形を使います。2人しかいなければ「年上のほう」は自動的に1人に決まるため、特定を表す the が比較級に付くのです。これは「3つ以上の中で一番」を表す最上級（the oldest of the three など）と対になるルールで、of the two が見えたら the + 比較級、と機械的に判断できます。したがって the older が正解です。なお、兄弟の年齢には older/oldest のほか elder/eldest も使われますが、本問では選択肢の形だけで判断できます。","1 older：the がないと「2人のうちの1人」に特定できないため×
2 oldest：最上級は原則3つ以上の比較で使い、さらに the も欠けているため×
4 the oldest：of the two（2人の比較）では最上級は使えないため×",""
"3","311","Chapter 4 品詞系","UNIT 6 副詞","空所補充","Since I was a child, I've always wanted to study （　）.","abroad","for abroad","in abroad","to abroad","","","1","abroad","Since I was a child, I've always wanted to study abroad.","子どものころから、私はずっと留学したいと思ってきました。","abroad は「外国で・外国へ」を1語で表す副詞（前置詞は不要）","まず文の構造を確認すると、study という動詞のあとに「外国で」という場所の情報を置く形です。abroad は「外国で・外国へ」という意味をすでに含んだ副詞（動詞などを修飾する語）なので、前置詞（in や to など、名詞の前に置く語）を付けずにそのまま動詞の直後に置きます。日本語の「外国『へ』」「外国『で』」につられて to や in を補いたくなるところが最大の落とし穴です。study abroad（留学する）、go abroad（外国へ行く）はこのままの形で丸ごと覚えてしまいましょう。同じ仲間に home（家へ）、there（そこへ）などがあり、いずれも前置詞を付けません。","2 for abroad：abroad は副詞であり前置詞 for の目的語になれないため×
3 in abroad：「外国で」の意味は abroad 1語に含まれており in は不要のため×
4 to abroad：「外国へ」の意味も abroad に含まれており to は不要のため×",""
"4","004","Chapter 1 動詞関連","UNIT 1 時制(1)","空所補充","I don't have any plans for this Sunday, but next Sunday （　） my aunt.","I visit","I am visiting","I was visiting","I'm going","","","2","I am visiting","I don't have any plans for this Sunday, but next Sunday I am visiting my aunt.","今度の日曜は何も予定がないが、次の日曜はおばを訪ねることになっている。","現在進行形は「すでに決まっている近い未来の予定」を表せる","前半で「今度の日曜は予定がない」と言い、but で「次の日曜は〜」と続けているので、空所には「すでに決まっている予定」を表す形が入ります。現在進行形には「今している最中」だけでなく、「手はずが整っている近い未来の予定」を表す用法があり、I am visiting my aunt で「おばを訪ねることになっている」という意味になります。plans（予定）という語との対応からも、この「予定の進行形」がぴったりです。","1 I visit：単なる現在形は「習慣」を表し、特定の日曜1回の予定を述べる文に合わないため×
3 I was visiting：過去進行形では next Sunday（未来）と矛盾するため×
4 I'm going：go は自動詞なので直後に my aunt という目的語を置けず、I'm going to visit my aunt などの形が必要なため×",""
"5","072","Chapter 1 動詞関連","UNIT 7 受動態","空所補充","I was made （　） till late at night.","work","worked","working","to work","","","4","to work","I was made to work till late at night.","私は夜遅くまで働かされた。","使役動詞 make の受動態は〈be made to do〉","make は「（人に）〜させる」という使役動詞で、能動態では〈make＋O＋動詞の原形〉の形をとります（例: They made me work.）。これを受動態にすると、原形だった work が to 不定詞に変わり、〈be made to do〉となります。したがって was made to work が正解です。問071の知覚動詞と同じく、「受動態になると to が現れる」パターンです。入試では「原形のまま」の選択肢を選ばせるひっかけが定番なので、確実に押さえておきましょう。","1 work：原形は能動態〈make＋O＋原形〉のときのみで、受動態では to が必要なため×
2 worked：過去分詞を続ける形はなく「働かされた」の意味を表せないため×
3 working：be made doing という形は存在しないため×",""
"6","332","Chapter 5 文型","UNIT 1 第1〜第3文型の語法","空所補充","I do exercises to stay （　）.","health","healthy","healthily","a health","","","2","healthy","I do exercises to stay healthy.","私は健康を保つために運動をしています。","stay ＋ 形容詞（〜のままでいる）","stay は「〜のままでいる」という意味では第2文型（S＋V＋C）の動詞で、補語 C には形容詞がきます。「I（S）＝ healthy（C）」の関係が成り立っていることを確認しましょう。日本語の「健康に保つ」の「〜に」につられて副詞 healthily を選ぶのが典型的なミスですが、副詞は補語になれません。stay のほかにも keep、remain など「〜のままでいる」系の動詞は後ろに形容詞をとる、とグループで覚えておくと応用が利きます。","1 health：名詞では「私＝健康（という概念）」となり意味が通らないため×
3 healthily：副詞は補語になれないため×
4 a health：health は数えられない名詞で a を付けられず、名詞自体も補語として不適なため×",""
"7","120","Chapter 2 準動詞","UNIT 4 動名詞(2)","空所補充","If you feel like （　） the rest of our collection, please come to our next exhibition in December.","for seeing","seeing","to see","having seen","","","2","seeing","If you feel like seeing the rest of our collection, please come to our next exhibition in December.","私どものコレクションの残りをご覧になりたければ、ぜひ12月の次回展示会にお越しください。","feel like doing「〜したい気がする」","feel like doing は「〜したい気がする」という意味の慣用表現です。この like は動詞ではなく前置詞なので、後ろには動名詞を置きます。「コレクションの残りを見たい気があれば」という文意から、feel like seeing とするのが正解です。feel like の後ろに to 不定詞を続ける形はないこと、前置詞 like のすぐ後ろにさらに前置詞 for を重ねられないことを押さえておけば、機械的に解ける問題です。","1 for seeing：前置詞 like の直後に別の前置詞 for は置けないため×
3 to see：feel like to do という形は存在しないため×
4 having seen：完了動名詞は「すでに見てしまったこと」を表し、これから見に来てもらう文意に合わないため×",""
"8","152","Chapter 3 構造系","UNIT 1 関係詞(1)","空所補充","My sister told me about a class at her university, （　） very much.","she's enjoying that","she's to enjoy it","that she's to enjoy","which she's enjoying","","","4","which she's enjoying","My sister told me about a class at her university, which she's enjoying very much.","姉は大学のある授業について私に話してくれたが、彼女はその授業をとても楽しんでいる。","コンマの後ろに置けるのは which（非制限用法）、that は不可","空所の前にコンマがあり、先行詞 a class at her university に補足説明を加える形です。このように「コンマ＋関係詞」で先行詞に説明を付け足す使い方を非制限用法（継続用法）といいます。非制限用法で使えるのは which や who などで、that は使えません。また、関係代名詞 which はそれ自体が enjoy の目的語の働きをするので、節の中に it などの目的語を重複して置かないことにも注意しましょう。which she's enjoying で「彼女がそれを楽しんでいる」という説明が先行詞につながります。","1 she's enjoying that：接続詞なしに2つの文をコンマだけでつなぐことはできず、この that は前の名詞と文をつなぐ働きを持たないため×
2 she's to enjoy it：関係詞がなく文と文をつなげられないうえ、be to do（〜する予定だ）にする意味的な理由もないため×
3 that she's to enjoy：関係代名詞 that はコンマ付きの非制限用法では使えないため×",""
"9","244","Chapter 3 構造系","UNIT 7 倒置・強調構文・語順","整序（英文選択）","私は先週はじめてそれに気がついた。
日本語の意味に合う英文として最も適切なものを選びなさい。","It was not until last week that I noticed it.","It was until not last week that I noticed it.","It not was until last week that I noticed it.","It was not that last week until I noticed it.","","","1","It was not until last week that I noticed it.","It was not until last week that I noticed it.","私は先週はじめてそれに気がついた。","It is not until 〜 that ...「〜になってはじめて…する」","「〜してはじめて…した」は、強調構文を使った It was not until 〜 that ... という定型表現で表します。直訳すると「…したのは〜になってからのことだった」で、not until 〜（〜まで…ない）の部分を It was と that で挟んで強調した形です。ここでは until の後ろに last week を置き、that 節の中に I noticed（気づいた）を続けて、It was not until last week that I noticed it. が完成します。語群に not / until / that がそろっていたら、まずこの構文を疑うのが鉄則です。","【組み立て】
語群の not・until・that から It was not until 〜 that ... の構文を想定
was not until last week までを組み立てる（⑥③⑤④）
that の後ろに主語＋動詞 I noticed を置き、文末の it につなげる（②⑦①）",""
"10","200","Chapter 3 構造系","UNIT 4 比較(2)","空所補充","This shopping mall is the second （　） one in New York.","large","larger","largest","the largest","","","3","largest","This shopping mall is the second largest one in New York.","このショッピングモールはニューヨークで2番目に大きい。","「〜番目に…な」は the + 序数 + 最上級","「〜番目に…な」は the + 序数（second, third など）+ 最上級で表します。本問はすでに空所の前に the second が置かれているので、空所には the の付かない最上級 largest を入れて the second largest one（2番目に大きいもの）とします。the はフレーズ全体の先頭に1回だけ付ければよく、最上級の前にもう一度 the を重ねることはできません。in New York という範囲を表す語句も最上級のサインです。「the second + 最上級」の形をひとかたまりの型として覚えておきましょう。","1 large：原級では「2番目に大きい」という順位の意味が出ないため×
2 larger：比較級は than を伴う2者比較の形で、序数 + 最上級の型に合わないため×
4 the largest：すでに文中に the があり、the second the largest と冠詞が重複してしまうため×","編集メモ: 原稿では選択肢が3つのみだったため、第4の選択肢「the largest」を編集部で補った。"
