No.,単語,意味,出現冊数
1,supply,を供給する,7
2,access,～にアクセスする,7
3,feature,特徴,7
4,ancestor,祖先,7
5,vote,投票する,7
6,admit,～を認める,7
7,atmosphere,雰囲気,7
8,regret,～を後悔する,7
9,eventually,最後には、結局,7
10,pretend,～のふりをする,7
11,fare,料金,7
12,raw,生の,7
13,offer,を提供する、差し出す,6
14,cost,（費用が）かかる,6
15,allow,～が…するのを許す,6
16,describe,を描写する、言葉で説明する,6
17,suggest,～を提案する,6
18,skill,技術,6
19,improve,を改良する,6
20,include,を含む,6
21,attract,～の心をとらえる、引きつける,6
22,spread,広がる,6
23,common,共通の,6
24,perform,を上演する,6
25,affect,に影響を及ぼす,6
26,encourage,を励ます,6
27,expand,(を)拡大[拡張]する,6
28,add,～を加える,6
29,income,収入,6
30,produce,～を生産する,6
31,bill,請求書,6
32,expect,～を予期する,6
33,gain,を得る,6
34,available,入手できる,6
35,destroy,～を破壊する,6
36,search,を探す,6
37,practice,を練習する,6
38,prevent,～を防ぐ、妨げる,6
39,structure,構造,6
40,fee,料金,6
41,region,地域,6
42,avoid,を避ける,6
43,complete,を達成する・完成させる,6
44,remove,を取り除く,6
45,associate,を結び付けて考える,6
46,current,現在の,6
47,struggle,奮闘する,6
48,detail,詳細,6
49,estimate,を見積もる,6
50,decade,10年間,6
51,suppose,～することになっている,6
52,theory,仮説,6
53,ancient,古代の,6
54,range,範囲,6
55,prove,わかる,6
56,fuel,燃料,6
57,environment,環境,6
58,require,～を必要とする,6
59,contain,を含む,6
60,increase,（数や量が）増える、増加する,6
61,obtain,を得る,6
62,replace,～を取り替える,6
63,adopt,を採用する,6
64,author,著者,6
65,reduce,～を減らす、削減する,6
66,chemical,化学物質、化学製品,6
67,suit,スーツ,6
68,celebrate,を祝う,6
69,site,ウェブサイト,6
70,depend,頼る,6
71,decline,衰退する、(を)丁重に断る,6
72,express,を表現する,6
73,correct,正しい,6
74,preserve,を保存する,6
75,purchase,(高価な物・大量の物)を購入する,6
76,oppose,に反対する、を対抗させる,6
77,argue,～と主張する,6
78,consume,を消費する,6
79,efficient,能率的な,6
80,convenient,便利な,6
81,occur,思い浮かぶ,6
82,invest,(を)投資する,6
83,advantage,利益、強み,6
84,complex,複雑な、複合の,6
85,general,一般的な、全体の,6
86,disturb,～を妨害する,6
87,issue,発行,6
88,publish,～を出版する,6
89,patient,忍耐強い,6
90,indicate,を指し示す,6
91,consider,～についてよく考える,6
92,audience,観衆,6
93,remind,思い出させる,6
94,cell,細胞,6
95,emphasize,を強調する,6
96,concentrate,集中する,6
97,sight,光景,6
98,review,～を復習する,6
99,ban,を禁止する,6
100,match,試合,6
101,quit,～をやめる,6
102,effect,影響,6
103,opportunity,機会,6
104,determine,を決定する,6
105,promote,～を促進する、増進する,6
106,particular,特定の,6
107,predict,(を)予測する、(を)予言する,6
108,favor,好意・親切な行い,6
109,survive,生き残る,6
110,contrast,対照,6
111,release,を解放する,6
112,approach,～に接近する,6
113,absorb,夢中になる,6
114,upset,～を動転させる・悲しませる,6
115,disappoint,～を失望させる,6
116,transfer,を移す,6
117,quality,質,6
118,adapt,を適応させる,6
119,confuse,～を混同する,6
120,harm,を傷つける,6
121,trust,を信頼する,6
122,refer,言及する,6
123,fit,～にサイズがぴったり合う,6
124,judge,を判断する,6
125,method,方法,6
126,identify,を特定する,6
127,essential,必要不可欠な、本質的な,6
128,connect,をつなぐ・接続する,6
129,recognize,～（の価値など）を認める,6
130,suffer,苦しむ,6
131,survey,調査,6
132,instrument,器具,6
133,custom,慣習、習慣,6
134,bother,～に迷惑をかける,6
135,surface,表面,6
136,trade,～を交換する,6
137,reject,を拒絶する、を断る,6
138,stock,(商品)を店に置いている、に補充する,6
139,status,地位、身分,6
140,influence,影響,6
141,wealth,富、財産,6
142,explore,を探検する,6
143,material,材料,6
144,duty,職務、義務,6
145,commit,(罪など)を犯す,6
146,official,公式の,6
147,adjust,を調節する,6
148,likely,～しそうである,6
149,obvious,明らかな,6
150,vehicle,乗り物,6
151,figure,図,6
152,demonstrate,を論証する、を実演する、デモをする,6
153,consist,～から成る,6
154,import,を輸入する,6
155,resource,資源、資金、(いざというときの)手段,6
156,consequence,結果、結論,6
157,scare,～を怯えさせる,6
158,define,を定義する、を明確にする,6
159,compete,競争する,6
160,instruction,指示,6
161,specific,特定の,6
162,potential,潜在的な,6
163,contract,契約(書),6
164,profit,利益,6
165,exist,存在する,6
166,insurance,保険,6
167,approve,を承認する、良いと認める,6
168,capable,有能な、できる,6
169,enormous,莫大な,6
170,award,（賞などを）与える,6
171,retire,引退する,6
172,overcome,～を克服する、乗り越える,6
173,value,価値,6
174,document,文書,6
175,divide,を分ける,6
176,facility,施設,6
177,victim,犠牲者、被害者,6
178,temporary,一時的な,6
179,despite,〜にもかかわらず,6
180,mention,～に言及する,6
181,temperature,気温,6
182,defeat,を負かす,6
183,insist,強く主張する,6
184,propose,を提案する、結婚を申し込む,6
185,reflect,を反射する、を反映する、熟考する,6
186,protest,(に)抗議する,6
187,quantity,量,6
188,imply,をほのめかす、をあんに示す,6
189,species,種,6
190,stretch,ストレッチをする,6
191,force,（人）に～することを強いる、強制する,6
192,emotion,感情,6
193,appropriate,適切な,6
194,ignore,を無視する,6
195,combine,～を結びつける,6
196,trend,流行,6
197,ingredient,材料,6
198,debt,借金,6
199,substitute,を代わりをする、を代わりに用いる,6
200,seek,を探す,6
201,curious,知りたがりの、好奇心の強い,6
202,register,(を)登録する,6
203,grocery,食糧雑貨,6
204,gender,性別,6
205,calculate,を計算する,6
206,witness,を目撃する,6
207,translate,～を翻訳する,6
208,resist,を我慢する、に抵抗する,6
209,pour,～を注ぐ,6
210,stable,安定した,6
211,option,選択権、選択の自由、選択肢,6
212,worth,価値がある,6
213,fossil,化石,6
214,council,会議,6
215,obey,(命令・規則など)に従う,6
216,detect,を検出する、を感知する,6
217,flavor,味,6
218,inspire,を奮い立たせる,6
219,collapse,崩壊する,6
220,typical,よくある典型的な,6
221,negative,消極的な,6
222,superior,優れた、上位の,6
223,punish,を罰する,6
224,independent,人に頼らず自立した,6
225,attitude,態度,6
226,deserve,値する,6
227,alter,を変える、を改める、変わる,6
228,nuclear,原子力利用の、核エネルギーの,6
229,flexible,融通の利く,6
230,impose,(義務や税)を課す,6
231,diet,日常の食事,6
232,burst,を破裂[爆発]させる、破裂[爆発]する,6
233,breed,を飼育する、を栽培する、を繁殖させる,6
234,anniversary,結婚などの記念日,6
235,entire,全体の、完全な,6
236,exhibit,を展示する,6
237,stare,(を)じっと見る,6
238,tribe,部族,6
239,initial,最初の,6
240,luxury,贅沢(品),6
241,origin,起源,6
242,fulfill,を実現する、を果たす,6
243,overall,全般(全体)的な,6
244,relevant,関連した,6
245,encounter,に遭遇する、に直面する,6
246,stimulate,を刺激する,6
247,guarantee,を保証する,6
248,restore,を修復する,6
249,puzzle,パズル,6
250,praise,称賛,6
251,specialize,専門とする,6
252,crash,衝突する,6
253,interfere,邪魔する,6
254,forbid,を禁止する,6
255,convert,を変える,6
256,cough,せき,6
257,postpone,を延期する,6
258,vital,極めて重要な、不可欠な,6
259,spill,～をこぼす,6
260,resemble,～に似ている,6
261,generous,気前の良い,6
262,commute,通勤[通学]する,6
263,steady,安定した、一定した,6
264,stir,(を)かき混ぜる,6
265,candidate,候補者、志願者,6
266,sacrifice,を犠牲にする,6
267,arrest,を逮捕する,6
268,disaster,災害,6
269,adequate,十分な,6
270,trace,(の跡)をたどる、をなぞる,6
271,faith,信頼、信用,6
