No.,単語,日本語,問題,選択肢1,選択肢2,選択肢3,選択肢4,答え,日本語訳
1,supply,を供給する,This company will (     ) fresh vegetables to local schools.,waste,receive,grow,supply,4,この会社は地元の学校に新鮮な野菜を供給するだろう。
2,access,～にアクセスする,You need a password to (     ) the company's computer files from home.,enter,access,connect,reach,2,あなたは自宅から会社のコンピューターのファイルにアクセスするためにパスワードが必要だ。
3,feature,特徴,The most interesting (     ) of this smartphone is its large screen.,price,problem,feature,weight,3,このスマートフォンの最も興味深い特徴は、その大きな画面だ。
4,ancestor,祖先,My (     ) came to this country from Italy over a hundred years ago.,ancestors,customers,neighbors,teachers,1,私の祖先は100年以上前にイタリアからこの国にやって来た。
5,vote,投票する,Many citizens went to (     ) for the new mayor last week.,sleep,vote,melt,swim,2,多くの市民が先週、新しい市長に投票しに行った。
6,admit,～を認める,"After the police asked him many questions, he finally (     ) that he stole the money.",arrived,refused,escaped,admitted,4,警察に多くの質問をされた後、彼はついにお金を盗んだことを認めた。
7,atmosphere,雰囲気,The small restaurant had a warm and friendly (     ) that made us relax.,distance,message,machine,atmosphere,4,その小さなレストランには、私たちをくつろがせる暖かくて親しみやすい雰囲気があった。
8,regret,～を後悔する,She really (     ) buying such an expensive bag she never uses.,regretted,refused,decided,promised,1,彼女は、まったく使わないそんな高価なバッグを買ったことを本当に後悔している。
9,eventually,最後には、結局,"She tried the difficult exam many times, and (     ) she passed it.",eventually,rarely,hardly,never,1,彼女はその難しい試験に何度も挑戦し、ついに合格した。
10,pretend,～のふりをする,The boy tried to (     ) that he was asleep when his mother came in.,escape,belong,pretend,arrive,3,母親が入ってきたとき、その男の子は眠っているふりをしようとした。
11,fare,料金,"I didn't have enough money to pay the taxi (     ), so I walked home.",fare,salary,prize,wage,1,私はタクシー料金を払うお金が足りなかったので、歩いて帰った。
12,raw,生の,"In Japan, many people enjoy eating (     ) fish as sushi.",raw,fried,boiled,cooked,1,日本では、多くの人が生の魚を寿司として食べるのを楽しむ。
13,offer,を提供する、差し出す,The coffee shop decided to (     ) free cake to all its new customers.,buy,offer,receive,borrow,2,そのコーヒー店は新しい客全員に無料のケーキを提供することにした。
14,cost,（費用が）かかる,How much does it (     ) to fly from Tokyo to London these days?,cost,spend,buy,pay,1,最近、東京からロンドンまで飛行機で行くのにいくらかかりますか。
15,allow,～が…するのを許す,My parents don't (     ) me to use my phone late at night.,agree,allow,hope,decide,2,両親は夜遅くに私が携帯電話を使うのを許してくれない。
16,describe,を描写する、言葉で説明する,Can you (     ) the man you saw near the shop to the police officer?,explain,describe,tell,say,2,店の近くで見かけた男性について警察官に説明できますか。
17,suggest,～を提案する,Can I (     ) an idea to solve this problem at the meeting?,listen,reply,suggest,agree,3,会議でこの問題を解決するための案を提案してもいいですか。
18,skill,技術,He improved his cooking (     ) by taking classes every weekend.,skill,dream,hope,wish,1,彼は毎週末授業を受けて料理の技術を向上させた。
19,improve,を改良する,The company worked hard to (     ) the product and make it easier to use.,remove,waste,damage,improve,4,その会社は製品を改良して使いやすくするために懸命に働いた。
20,include,を含む,"This travel price will (     ) breakfast, so you don't need to pay extra.",exclude,include,divide,collect,2,この旅行料金は朝食を含むので、追加で払う必要はない。
21,attract,～の心をとらえる、引きつける,The beautiful garden was designed to (     ) many visitors to the town.,remove,attract,reduce,return,2,その美しい庭園は、多くの観光客を町に引きつけるように設計された。
22,spread,広がる,The fire began to (     ) quickly through the dry forest.,disappear,stop,fall,spread,4,火は乾いた森の中を素早く広がり始めた。
23,common,共通の,English is a (     ) language that people in many countries can understand.,secret,common,silent,private,2,英語は多くの国の人々が理解できる共通の言語だ。
24,perform,を上演する,The drama club will (     ) a play for the audience tonight.,write,perform,forget,watch,2,演劇部は今夜観客のために劇を上演する。
25,affect,に影響を及ぼす,The cold weather can (     ) the growth of these plants.,accept,affect,attend,attach,2,寒い天候は、これらの植物の成長に影響を及ぼすことがある。
26,encourage,を励ます,My teacher always tries to (     ) me when I feel like giving up.,ignore,encourage,discourage,blame,2,私が諦めたくなったとき、先生はいつも私を励まそうとしてくれる。
27,expand,(を)拡大[拡張]する,The owner hopes to (     ) his small business into other cities soon.,explain,expect,express,expand,4,その経営者は、自分の小さな事業をまもなく他の都市へ拡大したいと望んでいる。
28,add,～を加える,"If the soup is not salty enough, you can (     ) more salt.",add,lose,cut,remove,1,スープが十分に塩辛くなければ、塩をもっと加えてもよい。
29,income,収入,"After getting a better job, his (     ) increased a lot.",content,income,welcome,outcome,2,よりよい仕事に就いた後、彼の収入は大きく増えた。
30,produce,～を生産する,This large factory can (     ) thousands of cars every single month.,waste,watch,produce,borrow,3,この大きな工場は毎月何千台もの車を生産することができる。
